LEMMA;TF;IDF;TF*IDF
ada;0.001698;0.028855;4.9e-05
aiwork;0.001698;5.658211;0.009608
alita;0.003396;5.658211;0.019215
america;0.001698;0.592122;0.001005
aml;0.001698;5.658211;0.009608
apecoin;0.001698;0.028855;4.9e-05
apt;0.001698;0.488286;0.000829
aptos;0.001698;0.488286;0.000829
atlantis;0.001698;6.658211;0.011306
awo;0.001698;5.658211;0.009608
bank;0.001698;0.549687;0.000933
billarycoin;0.001698;5.658211;0.009608
binance;0.001698;0.014355;2.4e-05
bitcoin;0.001698;0.014355;2.4e-05
bitcoinпрогноз;0.001698;0.028855;4.9e-05
bitforex;0.001698;5.073249;0.008614
bitget;0.001698;0.014355;2.4e-05
bitvote;0.001698;5.658211;0.009608
blry;0.001698;5.658211;0.009608
bnb;0.001698;0.028855;4.9e-05
btc;0.001698;0.014355;2.4e-05
btv;0.001698;5.073249;0.008614
busd;0.001698;0.028855;4.9e-05
buybit;0.001698;0.028855;4.9e-05
bybit;0.001698;0.014355;2.4e-05
cactus;0.001698;6.658211;0.011306
cardano;0.001698;0.028855;4.9e-05
cardanoadaada;0.001698;0.028855;4.9e-05
cardanum;0.001698;6.658211;0.011306
cex;0.001698;0.028855;4.9e-05
coin;0.001698;0.028855;4.9e-05
coinbnbbnb;0.001698;0.028855;4.9e-05
coinex;0.001698;0.028855;4.9e-05
coinse;0.001698;5.658211;0.009608
coinusdcusdc;0.001698;0.028855;4.9e-05
com;0.001698;2.265894;0.003847
comвсе;0.001698;0.028855;4.9e-05
concave;0.001698;6.658211;0.011306
crypto;0.003396;0.014355;4.9e-05
cryptotab;0.001698;6.658211;0.011306
cspr;0.001698;6.658211;0.011306
currency;0.001698;0.014355;2.4e-05
dao;0.001698;3.073249;0.005218
defi;0.001698;0.014355;2.4e-05
defiанонимныес;0.001698;0.028855;4.9e-05
dex;0.001698;0.028855;4.9e-05
dodo;0.001698;4.073249;0.006916
doge;0.001698;0.028855;4.9e-05
dogecoin;0.001698;0.028855;4.9e-05
dot;0.001698;0.028855;4.9e-05
earnпроект;0.001698;0.028855;4.9e-05
earnтокен;0.001698;0.028855;4.9e-05
ens;0.001698;5.658211;0.009608
eos;0.001698;3.336283;0.005665
eth;0.001698;0.014355;2.4e-05
ethereum;0.001698;0.014355;2.4e-05
ethereumкурсыbitcoinbtcbtc;0.001698;0.028855;4.9e-05
ethereumперспективный;0.001698;0.028855;4.9e-05
ethereumпрогноз;0.001698;0.028855;4.9e-05
eur;0.001698;0.014355;2.4e-05
exchange;0.001698;0.429393;0.000729
fancy;0.001698;0.549687;0.000933
fdic;0.001698;0.528928;0.000898
figure;0.001698;6.658211;0.011306
finance;0.001698;0.336283;0.000571
fordin;0.001698;0.592122;0.001005
foundation;0.001698;0.528928;0.000898
gate;0.001698;0.592122;0.001005
glory;0.001698;0.592122;0.001005
gwei;0.001698;0.028855;4.9e-05
hashflow;0.001698;0.592122;0.001005
hft;0.001698;5.073249;0.008614
hitbtc;0.001698;0.028855;4.9e-05
hnt;0.001698;4.336283;0.007363
htdf;0.001698;5.658211;0.009608
huobi;0.001698;0.028855;4.9e-05
ico;0.001698;0.028855;4.9e-05
ido;0.001698;4.336283;0.007363
ieo;0.001698;4.336283;0.007363
imx;0.001698;0.570749;0.000969
info;0.001698;0.028855;4.9e-05
inu;0.001698;3.488286;0.005923
inushibshib;0.001698;0.028855;4.9e-05
io;0.003396;0.028855;9.8e-05
ip;0.001698;0.028855;4.9e-05
jpy;0.001698;0.028855;4.9e-05
key;0.001698;5.658211;0.009608
kucoin;0.001698;0.028855;4.9e-05
kyc;0.001698;4.336283;0.007363
kzt;0.001698;0.028855;4.9e-05
litecoin;0.001698;0.014355;2.4e-05
ltc;0.001698;0.028855;4.9e-05
lunc;0.001698;4.658211;0.00791
mastercard;0.001698;0.549687;0.000933
max;0.001698;0.103623;0.000176
mediumproject;0.001698;5.658211;0.009608
mercatox;0.001698;6.658211;0.011306
messari;0.001698;3.488286;0.005923
mexc;0.001698;0.028855;4.9e-05
min;0.001698;0.103623;0.000176
mixer;0.001698;5.658211;0.009608
money;0.001698;4.336283;0.007363
move;0.001698;0.028855;4.9e-05
