TOKEN;TF;IDF;TF*IDF
ada;0.000818;0.028855;2.4e-05
apt;0.000818;0.488286;0.000399
america;0.000818;0.592122;0.000484
apecoin;0.000818;0.028855;2.4e-05
aptos;0.000818;0.488286;0.000399
bnb;0.000818;0.028855;2.4e-05
btc;0.000818;0.014355;1.2e-05
busd;0.000818;0.028855;2.4e-05
bank;0.000818;0.549687;0.00045
binance;0.000818;0.014355;1.2e-05
bitcoin;0.000818;0.014355;1.2e-05
bitcoinпрогнозы;0.000818;0.028855;2.4e-05
bitget;0.000818;0.014355;1.2e-05
blur;0.000818;0.592122;0.000484
buybit;0.000818;0.028855;2.4e-05
bybit;0.000818;0.014355;1.2e-05
cex;0.000818;0.028855;2.4e-05
cardano;0.000818;0.028855;2.4e-05
cardanoadaada;0.000818;0.028855;2.4e-05
change;0.000818;0.613817;0.000502
coin;0.000818;0.028855;2.4e-05
coinbnbbnb;0.000818;0.028855;2.4e-05
coinex;0.000818;0.028855;2.4e-05
coinstart;0.000818;0.613817;0.000502
coinusdcusdc;0.000818;0.028855;2.4e-05
crypto;0.001635;0.014355;2.3e-05
currency;0.000818;0.014355;1.2e-05
dex;0.000818;0.028855;2.4e-05
doge;0.000818;0.028855;2.4e-05
dot;0.000818;0.028855;2.4e-05
defi;0.000818;0.014355;1.2e-05
defiанонимныес;0.000818;0.028855;2.4e-05
diluted;0.000818;0.658211;0.000538
dogecoin;0.000818;0.028855;2.4e-05
e;0.000818;0.448758;0.000367
eth;0.000818;0.014355;1.2e-05
eur;0.000818;0.014355;1.2e-05
earnпроекты;0.000818;0.028855;2.4e-05
earnтокены;0.000818;0.028855;2.4e-05
ethereum;0.000818;0.014355;1.2e-05
ethereumкурсыbitcoinbtcbtc;0.000818;0.028855;2.4e-05
ethereumперспективные;0.000818;0.028855;2.4e-05
ethereumпрогнозы;0.000818;0.028855;2.4e-05
exhub;0.000818;0.613817;0.000502
fdic;0.000818;0.528928;0.000433
fdv;0.000818;0.658211;0.000538
fancy;0.000818;0.549687;0.00045
finance;0.001635;0.336283;0.00055
float;0.000818;0.613817;0.000502
fordin;0.000818;0.592122;0.000484
foundation;0.000818;0.528928;0.000433
fully;0.000818;0.658211;0.000538
gate;0.000818;0.592122;0.000484
glory;0.000818;0.592122;0.000484
golden;0.000818;0.592122;0.000484
gwei;0.000818;0.028855;2.4e-05
hash;0.000818;0.613817;0.000502
hashbon;0.000818;0.613817;0.000502
hashflow;0.000818;0.592122;0.000484
hitbtc;0.000818;0.028855;2.4e-05
huobi;0.000818;0.028855;2.4e-05
ico;0.000818;0.028855;2.4e-05
imx;0.000818;0.570749;0.000467
inushibshib;0.000818;0.028855;2.4e-05
io;0.001635;0.028855;4.7e-05
ip;0.000818;0.028855;2.4e-05
jpy;0.000818;0.028855;2.4e-05
kzt;0.000818;0.028855;2.4e-05
kucoin;0.000818;0.028855;2.4e-05
lsd;0.000818;0.613817;0.000502
ltc;0.000818;0.028855;2.4e-05
ltd;0.000818;3.336283;0.002729
limited;0.000818;3.073249;0.002514
litecoin;0.000818;0.014355;1.2e-05
max;0.000818;0.103623;8.5e-05
mexc;0.000818;0.028855;2.4e-05
min;0.000818;0.103623;8.5e-05
mastercard;0.000818;0.549687;0.00045
messari;0.000818;3.488286;0.002853
mikhail;0.000818;0.613817;0.000502
move;0.000818;0.028855;2.4e-05
munizel;0.000818;0.613817;0.000502
nft;0.000818;0.014355;1.2e-05
nominex;0.000818;0.028855;2.4e-05
okx;0.000818;0.028855;2.4e-05
petrodollar;0.000818;5.658211;0.004628
phemex;0.000818;0.014355;1.2e-05
play;0.000818;0.028855;2.4e-05
polkadot;0.000818;0.028855;2.4e-05
poloniex;0.000818;0.028855;2.4e-05
polygon;0.000818;0.372809;0.000305
protocol;0.000818;0.028855;2.4e-05
rub;0.000818;0.014355;1.2e-05
ravencoin;0.000818;0.028855;2.4e-05
ray;0.000818;0.570749;0.000467
ripple;0.000818;0.372809;0.000305
ripplexrpxrp;0.000818;0.028855;2.4e-05
ru;0.001635;0.014355;2.3e-05
shib;0.000818;0.028855;2.4e-05
shiba;0.000818;0.028855;2.4e-05
sol;0.000818;0.028855;2.4e-05
sola;0.000818;0.592122;0.000484
shanghai;0.000818;0.592122;0.000484
signature;0.000818;0.592122;0.000484
skorobogat;0.000818;0.592122;0.000484
solana;0.000818;0.014355;1.2e-05
solanasolsol;0.000818;0.028855;2.4e-05
spacegold;0.000818;0.592122;0.000484
trc;0.000818;0.488286;0.000399
telegram;0.000818;0.028855;2.4e-05
tether;0.001635;0.014355;2.3e-05
tetherusdtusdt;0.000818;0.028855;2.4e-05
that;0.000818;0.592122;0.000484
token;0.000818;0.028855;2.4e-05
tradingview;0.000818;2.014355;0.001648
twitter;0.000818;0.014355;1.2e-05
uah;0.000818;0.028855;2.4e-05
uni;0.000818;0.028855;2.4e-05
usd;0.000818;0.014355;1.2e-05
usdbusdbusd;0.000818;0.028855;2.4e-05
usdc;0.000818;0.014355;1.2e-05
usdeurrubuahkzt;0.000818;0.028855;2.4e-05
usdt;0.000818;0.014355;1.2e-05
uglevvasiya;0.000818;0.570749;0.000467
uniswap;0.000818;0.028855;2.4e-05
vk;0.000818;0.058299;4.8e-05
vpn;0.000818;0.028855;2.4e-05
valuation;0.000818;0.658211;0.000538
visa;0.000818;0.549687;0.00045
wbtc;0.000818;1.957772;0.001601
whatsapp;0.000818;0.043502;3.6e-05
wrapped;0.000818;1.903324;0.001557
x;0.001635;0.448758;0.000734
xpd;0.000818;5.658211;0.004628
xrp;0.000818;0.028855;2.4e-05
yfi;0.000818;1.372809;0.001123
yobit;0.000818;0.613817;0.000502
youtube;0.000818;0.028855;2.4e-05
binder;0.000818;0.613817;0.000502
black;0.000818;0.592122;0.000484
bot;0.000818;0.592122;0.000484
comвсе;0.000818;0.028855;2.4e-05
doramar;0.000818;0.613817;0.000502
exchange;0.000818;0.429393;0.000351
info;0.000818;0.028855;2.4e-05
mail;0.000818;0.570749;0.000467
of;0.000818;0.182478;0.000149
samoylov;0.000818;0.613817;0.000502
to;0.000818;0.028855;2.4e-05
torbit;0.000818;0.570749;0.000467
yearn;0.000818;1.300659;0.001064
авиабилеты;0.000818;0.028855;2.4e-05
автоматический;0.000818;0.592122;0.000484
автосалоны;0.000818;0.028855;2.4e-05
агентства;0.000818;0.028855;2.4e-05
администрация;0.000818;0.028855;2.4e-05
академия;0.000818;0.028855;2.4e-05
аккаунты;0.000818;0.028855;2.4e-05
акман;0.000818;0.592122;0.000484
американские;0.000818;0.028855;2.4e-05
анализ;0.001635;1.448758;0.002369
аналитика;0.000818;0.549687;0.00045
андрей;0.000818;0.613817;0.000502
анна;0.000818;0.613817;0.000502
аренда;0.001635;0.028855;4.7e-05
арина;0.000818;0.592122;0.000484
банки;0.000818;0.468387;0.000383
безопасно;0.000818;0.528928;0.000433
безопасность;0.001635;0.028855;4.7e-05
белорусские;0.000818;0.028855;2.4e-05
билл;0.000818;0.592122;0.000484
биржи;0.001635;0.014355;2.3e-05
биткоин;0.001635;0.014355;2.3e-05
блоги;0.000818;0.014355;1.2e-05
блокчейн;0.000818;0.014355;1.2e-05
бот;0.001635;0.613817;0.001004
бывший;0.000818;0.549687;0.00045
быстро;0.000818;0.014355;1.2e-05
вакансии;0.000818;0.014355;1.2e-05
варианты;0.000818;0.658211;0.000538
взаимная;0.000818;0.592122;0.000484
видео;0.000818;0.028855;2.4e-05
включает;0.000818;2.850857;0.002332
волатильность;0.000818;0.372809;0.000305
вопросы;0.001635;0.014355;2.3e-05
воскресенье;0.000818;0.903324;0.000739
всего;0.001635;0.182478;0.000298
вторник;0.000818;0.903324;0.000739
вход;0.000818;0.014355;1.2e-05
вы;0.000818;0.570749;0.000467
выбранная;0.000818;0.930291;0.000761
выгодном;0.000818;0.570749;0.000467
газ;0.000818;0.028855;2.4e-05
георгий;0.000818;0.592122;0.000484
главная;0.000818;0.014355;1.2e-05
главнаямонетыbitcoin;0.000818;3.850857;0.00315
график;0.001635;0.528928;0.000865
гривна;0.000818;0.876852;0.000717
давно;0.000818;0.570749;0.000467
данный;0.001635;0.028855;4.7e-05
дата;0.000818;0.876852;0.000717
день;0.001635;0.528928;0.000865
децентрализованные;0.000818;0.014355;1.2e-05
дзен;0.000818;0.028855;2.4e-05
диденкова;0.000818;0.592122;0.000484
динамика;0.000818;0.727474;0.000595
динамики;0.001635;3.658211;0.005981
добыто;0.000818;0.658211;0.000538
доллар;0.000818;0.751321;0.000615
думал;0.000818;0.613817;0.000502
евро;0.001635;0.182478;0.000298
его;0.001635;0.166358;0.000272
ее;0.000818;0.300659;0.000246
ежедневные;0.000818;1.528928;0.001251
еще;0.001635;0.014355;2.3e-05
журналисты;0.000818;5.658211;0.004628
задай;0.000818;0.876852;0.000717
задать;0.000818;0.014355;1.2e-05
закон;0.000818;0.028855;2.4e-05
игорь;0.000818;0.570749;0.000467
изменения;0.001635;0.058299;9.5e-05
изначально;0.000818;0.448758;0.000367
инвестирование;0.000818;0.028855;2.4e-05
институциональные;0.000818;0.028855;2.4e-05
интервью;0.001635;0.028855;4.7e-05
инфографика;0.000818;0.028855;2.4e-05
исторические;0.000818;0.850857;0.000696
история;0.000818;0.592122;0.000484
йена;0.000818;0.876852;0.000717
крипто;0.000818;0.613817;0.000502
казахстанские;0.000818;0.028855;2.4e-05
календарь;0.000818;0.028855;2.4e-05
калькулятор;0.001635;0.028855;4.7e-05
капитализация;0.001635;0.028855;4.7e-05
карта;0.000818;0.028855;2.4e-05
кастодиальные;0.001635;0.014355;2.3e-05
качественная;0.000818;0.613817;0.000502
кийосаки;0.000818;3.658211;0.002992
китайские;0.000818;0.028855;2.4e-05
киты;0.000818;0.592122;0.000484
клуб;0.000818;0.028855;2.4e-05
книга;0.000818;0.028855;2.4e-05
количество;0.001635;0.265894;0.000435
конкурс;0.000818;0.549687;0.00045
корейские;0.000818;0.028855;2.4e-05
котировки;0.001635;0.549687;0.000899
кошельки;0.001635;0.014355;2.3e-05
криптобиржи;0.001635;0.028855;4.7e-05
криптовалюта;0.001635;0.014355;2.3e-05
криптовалютный;0.000818;3.336283;0.002729
криптовалюты;0.001635;0.014355;2.3e-05
криптоновости;0.000818;0.613817;0.000502
криптопроекты;0.000818;0.028855;2.4e-05
криптосервисы;0.000818;0.028855;2.4e-05
кросс;0.000818;0.903324;0.000739
ксения;0.000818;0.613817;0.000502
купить;0.001635;0.014355;2.3e-05
купитьbinance;0.000818;0.13465;0.00011
купитьcoinex;0.000818;1.300659;0.001064
купитьgateio;0.000818;0.985786;0.000806
купитьhuobi;0.000818;1.300659;0.001064
купитьpoloniex;0.000818;0.488286;0.000399
купитьmexc;0.000818;4.073249;0.003332
купитьпродатьобменятьигратьзаработать;0.000818;0.658211;0.000538
курс;0.001635;0.13465;0.00022
курсы;0.000818;0.613817;0.000502
кутиков;0.000818;0.592122;0.000484
лучшие;0.000818;0.014355;1.2e-05
майнинг;0.001635;0.014355;2.3e-05
макс;0.000818;0.658211;0.000538
максимальное;0.001635;0.592122;0.000968
максимальный;0.000818;0.635844;0.00052
медленно;0.000818;0.028855;2.4e-05
мероприятия;0.000818;0.028855;2.4e-05
мин;0.000818;0.658211;0.000538
минимальная;0.001635;0.80023;0.001308
мнений;0.000818;4.336283;0.003547
монета;0.001635;0.215268;0.000352
монеты;0.001635;0.014355;2.3e-05
мониторинг;0.000818;0.028855;2.4e-05
моя;0.000818;0.592122;0.000484
мск;0.000818;0.930291;0.000761
мы;0.000818;0.028855;2.4e-05
научись;0.000818;0.613817;0.000502
начать;0.000818;0.468387;0.000383
некастодиальные;0.001635;0.014355;2.3e-05
некоторые;0.000818;2.19878;0.001799
новичок;0.000818;0.592122;0.000484
новое;0.000818;0.468387;0.000383
новости;0.001635;0.014355;2.3e-05
новые;0.000818;0.014355;1.2e-05
обзор;0.001635;0.043502;7.1e-05
обмен;0.001635;0.391425;0.00064
обменники;0.001635;0.014355;2.3e-05
обновление;0.001635;0.429393;0.000702
обратная;0.000818;0.014355;1.2e-05
объем;0.001635;0.028855;4.7e-05
объём;0.000818;0.028855;2.4e-05
обычно;0.001635;0.354431;0.000579
онлайн;0.001635;0.014355;2.3e-05
основное;0.000818;0.528928;0.000433
оставить;0.000818;0.658211;0.000538
отвечаем;0.000818;0.028855;2.4e-05
отели;0.000818;0.028855;2.4e-05
отзывы;0.001635;0.014355;2.3e-05
открыть;0.000818;0.751321;0.000615
отображает;0.000818;5.658211;0.004628
перейти;0.000818;0.549687;0.00045
подготовка;0.000818;6.658211;0.005446
поделитесь;0.000818;0.930291;0.000761
поделиться;0.000818;0.043502;3.6e-05
подскажите;0.000818;0.613817;0.000502
пожаловаться;0.000818;0.028855;2.4e-05
поиск;0.000818;3.073249;0.002514
показатель;0.001635;0.429393;0.000702
покупаем;0.000818;0.613817;0.000502
покупка;0.000818;0.014355;1.2e-05
полгода;0.000818;0.903324;0.000739
политике;0.000818;0.028855;2.4e-05
полное;0.000818;0.028855;2.4e-05
полностью;0.000818;0.448758;0.000367
получи;0.000818;0.508464;0.000416
пользователям;0.001635;0.318361;0.000521
помню;0.000818;0.592122;0.000484
помогите;0.000818;0.930291;0.000761
понедельник;0.000818;0.903324;0.000739
попробовал;0.000818;0.613817;0.000502
популярное;0.000818;0.570749;0.000467
посетители;0.000818;3.850857;0.00315
последнее;0.000818;0.876852;0.000717
последние;0.001635;0.028855;4.7e-05
потенциал;0.000818;0.391425;0.00032
поторговал;0.000818;0.613817;0.000502
почему;0.000818;0.410284;0.000336
поэтому;0.000818;1.528928;0.001251
